Wavelength (nm)	Transmission (%)
762	45.3064
763	45.2443
764	45.1823
765	45.1204
766	45.0586
767	44.9969
768	44.9353
769	44.8738
770	44.8124
771	44.7512
772	44.69
773	44.6289
774	44.5679
775	44.507
776	44.4462
777	44.3854
778	44.3248
779	44.2642
780	44.2038
781	44.1434
782	44.0831
783	44.0229
784	43.9627
785	43.9027
786	43.8427
787	43.7828
788	43.723
789	43.6632
790	43.6036
791	43.544
792	43.4845
793	43.425
794	43.3657
795	43.3064
796	43.2472
797	43.188
798	43.129
799	43.07
800	43.0111
801	42.9523
802	42.8935
803	42.8349
804	42.7763
805	42.7178
806	42.6594
807	42.6011
808	42.5428
809	42.4847
810	42.4267
811	42.3687
812	42.3109
813	42.2531
814	42.1955
815	42.1379
816	42.0804
817	42.023
818	41.9658
819	41.9086
820	41.8515
821	41.7945
822	41.7377
823	41.6809
824	41.6242
825	41.5676
826	41.5111
827	41.4548
828	41.3985
829	41.3423
830	41.2863
831	41.2303
832	41.1744
833	41.1187
834	41.063
835	41.0075
836	40.952
837	40.8967
838	40.8414
839	40.7863
840	40.7312
841	40.6763
842	40.6215
843	40.5667
844	40.5121
845	40.4575
846	40.4031
847	40.3488
848	40.2946
849	40.2405
850	40.1864
851	40.1325
852	40.0787
853	40.025
854	39.9714
855	39.9179
856	39.8645
857	39.8112
858	39.7579
859	39.7048
860	39.6518
861	39.5989
862	39.5461
863	39.4934
864	39.4408
865	39.3882
866	39.3358
867	39.2835
868	39.2313
869	39.1792
870	39.1271
871	39.0752
872	39.0234
873	38.9716
874	38.92
875	38.8684
876	38.817
877	38.7656
878	38.7143
879	38.6632
880	38.6121
881	38.5611
882	38.5102
883	38.4594
884	38.4087
885	38.358
886	38.3075
887	38.2571
888	38.2067
889	38.1564
890	38.1063
891	38.0561
892	38.0061
893	37.9562
894	37.9064
895	37.8567
896	37.807
897	37.7574
898	37.7079
899	37.6585
900	37.6092
901	37.5599
902	37.5108
903	37.4617
904	37.4127
905	37.3638
906	37.3149
907	37.2662
908	37.2175
909	37.1689
910	37.1204
911	37.0719
912	37.0235
913	36.9752
914	36.927
915	36.8788
916	36.8307
917	36.7827
918	36.7348
919	36.6869
920	36.6391
921	36.5913
922	36.5436
923	36.496
924	36.4484
925	36.4009
926	36.3535
927	36.306
928	36.2587
929	36.2114
930	36.1641
931	36.1169
932	36.0697
933	36.0226
934	35.9755
935	35.9284
936	35.8814
937	35.8344
938	35.7875
939	35.7406
940	35.6937
941	35.6469
942	35.6001
943	35.5533
944	35.5066
945	35.4599
946	35.4132
947	35.3665
948	35.3199
949	35.2733
950	35.2268
951	35.1802
952	35.1337
953	35.0873
954	35.0408
955	34.9944
956	34.948
957	34.9017
958	34.8553
959	34.809
960	34.7627
961	34.7165
962	34.6703
963	34.624
964	34.5779
965	34.5317
966	34.4856
967	34.4395
968	34.3934
969	34.3474
970	34.3014
971	34.2554
972	34.2094
973	34.1635
974	34.1175
975	34.0717
976	34.0258
977	33.98
978	33.9342
979	33.8884
980	33.8427
981	33.7969
982	33.7512
983	33.7056
984	33.66
985	33.6143
986	33.5688
987	33.5232
988	33.4777
989	33.4322
990	33.3868
991	33.3413
992	33.296
993	33.2506
994	33.2053
995	33.16
996	33.1147
997	33.0695
998	33.0243
999	32.9791
1000	32.934
