Wavelength (nm)	Normal incidence	30 deg incidence		40 deg incidence		50 deg incidence		60 deg incidence		70 deg incidence	
		S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization
542	29.5298	34.6632	25.5982	39.197	22.57	45.7444	19.0345	54.817	16.4012	66.8549	19.693
543	29.6146	34.7524	25.6756	39.2881	22.6412	45.8353	19.0965	54.9025	16.4495	66.9258	19.7211
544	29.6994	34.8415	25.7531	39.3792	22.7124	45.9262	19.1586	54.9879	16.4979	66.9965	19.7493
545	29.7841	34.9306	25.8305	39.4701	22.7836	46.0168	19.2207	55.0731	16.5464	67.0672	19.7777
546	29.8687	35.0196	25.9079	39.561	22.8548	46.1074	19.2828	55.1583	16.595	67.1377	19.8063
547	29.9534	35.1086	25.9853	39.6519	22.9261	46.198	19.345	55.2434	16.6436	67.2081	19.835
548	30.0381	35.1976	26.0628	39.7427	22.9973	46.2885	19.4073	55.3283	16.6924	67.2785	19.864
549	30.1227	35.2865	26.1402	39.8334	23.0686	46.3789	19.4696	55.4132	16.7414	67.3488	19.8932
550	30.2074	35.3755	26.2177	39.9242	23.14	46.4693	19.532	55.4981	16.7904	67.419	19.9225
551	30.2921	35.4644	26.2953	40.0149	23.2114	46.5596	19.5945	55.5829	16.8396	67.4892	19.9521
552	30.3768	35.5534	26.3729	40.1057	23.283	46.65	19.6571	55.6677	16.8889	67.5594	19.9819
553	30.4616	35.6425	26.4506	40.1965	23.3546	46.7404	19.7199	55.7526	16.9385	67.6296	20.012
554	30.5465	35.7316	26.5284	40.2873	23.4263	46.8308	19.7828	55.8374	16.9882	67.6997	20.0423
555	30.6315	35.8207	26.6063	40.3782	23.4982	46.9212	19.8458	55.9222	17.038	67.7699	20.0729
556	30.7166	35.91	26.6843	40.4692	23.5702	47.0118	19.909	56.0071	17.0881	67.8401	20.1038
557	30.8018	35.9994	26.7625	40.5603	23.6423	47.1023	19.9723	56.0921	17.1384	67.9103	20.1349
558	30.8871	36.0888	26.8408	40.6514	23.7146	47.193	20.0358	56.1771	17.1889	67.9806	20.1663
559	30.9726	36.1785	26.9193	40.7428	23.7871	47.2839	20.0996	56.2622	17.2396	68.051	20.1981
560	31.0582	36.2683	26.9979	40.8343	23.8597	47.3748	20.1635	56.3474	17.2906	68.1214	20.2301
561	31.1441	36.3583	27.0768	40.9259	23.9326	47.4659	20.2277	56.4328	17.3418	68.1919	20.2624
562	31.2301	36.4485	27.1558	41.0178	24.0057	47.5572	20.2921	56.5183	17.3933	68.2626	20.2951
563	31.3163	36.5389	27.2351	41.1098	24.079	47.6486	20.3567	56.604	17.4451	68.3333	20.3281
564	31.4029	36.6295	27.3147	41.2021	24.1526	47.7404	20.4216	56.6899	17.4972	68.4043	20.3615
565	31.4897	36.7205	27.3945	41.2946	24.2265	47.8323	20.4869	56.7759	17.5496	68.4754	20.3953
566	31.5767	36.8116	27.4746	41.3874	24.3007	47.9244	20.5524	56.8622	17.6023	68.5466	20.4294
567	31.6641	36.9032	27.5551	41.4806	24.3752	48.0169	20.6183	56.9488	17.6555	68.6181	20.4639
568	31.7518	36.995	27.6358	41.574	24.45	48.1097	20.6844	57.0355	17.7089	68.6897	20.4988
569	31.8399	37.0871	27.7169	41.6678	24.5252	48.2028	20.751	57.1226	17.7627	68.7616	20.5341
570	31.9284	37.1798	27.7985	41.762	24.6008	48.2963	20.8179	57.2101	17.8169	68.8338	20.5699
571	32.0172	37.2727	27.8803	41.8565	24.6767	48.39	20.8852	57.2978	17.8715	68.9061	20.6061
572	32.1066	37.3662	27.9628	41.9516	24.7532	48.4844	20.9531	57.386	17.9266	68.9789	20.6428
573	32.1964	37.4602	28.0457	42.0471	24.8301	48.5792	21.0214	57.4746	17.9822	69.052	20.68
574	32.2867	37.5545	28.1289	42.1431	24.9075	48.6743	21.09	57.5635	18.0381	69.1253	20.7175
575	32.3777	37.6498	28.213	42.2399	24.9856	48.7703	21.1595	57.6532	18.0948	69.1992	20.7558
576	32.4693	37.7455	28.2976	42.3371	25.0641	48.8666	21.2294	57.7432	18.1519	69.2734	20.7945
577	32.5615	37.8418	28.3828	42.435	25.1433	48.9636	21.2998	57.8337	18.2096	69.348	20.8336
578	32.6544	37.9389	28.4687	42.5336	25.2232	49.0614	21.371	57.925	18.2679	69.4231	20.8734
579	32.7478	38.0365	28.5551	42.6327	25.3036	49.1595	21.4426	58.0165	18.3267	69.4985	20.9135
580	32.8421	38.1349	28.6423	42.7326	25.3848	49.2584	21.515	58.1088	18.3861	69.5744	20.9541
581	32.9369	38.2339	28.7301	42.8331	25.4665	49.3579	21.5879	58.2015	18.446	69.6506	20.9952
582	33.0323	38.3334	28.8184	42.9341	25.5487	49.4577	21.6613	58.2945	18.5064	69.7271	21.0366
583	33.1286	38.4339	28.9076	43.036	25.6319	49.5585	21.7356	58.3884	18.5675	69.8041	21.0786
584	33.2254	38.5348	28.9973	43.1383	25.7155	49.6596	21.8103	58.4825	18.629	69.8814	21.1209
585	33.3228	38.6363	29.0876	43.2412	25.7996	49.7613	21.8855	58.5771	18.691	69.959	21.1635
586	33.421	38.7386	29.1787	43.3449	25.8846	49.8637	21.9615	58.6723	18.7536	70.037	21.2066
587	33.5196	38.8413	29.2702	43.449	25.97	49.9664	22.0378	58.7677	18.8166	70.1151	21.25
588	33.6189	38.9447	29.3624	43.5537	26.056	50.0697	22.1149	58.8636	18.8801	70.1936	21.2936
589	33.7189	39.0487	29.4553	43.659	26.1427	50.1735	22.1924	58.96	18.9441	70.2723	21.3376
590	33.8192	39.1531	29.5485	43.7646	26.2298	50.2776	22.2704	59.0565	19.0085	70.3512	21.3818
591	33.9204	39.2582	29.6425	43.8709	26.3176	50.3824	22.3491	59.1536	19.0734	70.4304	21.4264
592	34.022	39.3638	29.737	43.9776	26.4059	50.4874	22.4282	59.2509	19.1387	70.5098	21.4711
593	34.124	39.4697	29.8319	44.0848	26.4946	50.5928	22.5077	59.3484	19.2044	70.5892	21.5161
594	34.2267	39.5763	29.9275	44.1924	26.584	50.6987	22.5879	59.4463	19.2705	70.6689	21.5612
595	34.3297	39.6832	30.0234	44.3004	26.6737	50.8048	22.6683	59.5443	19.337	70.7486	21.6066
596	34.4332	39.7906	30.1199	44.4088	26.7639	50.9113	22.7493	59.6426	19.4038	70.8285	21.652
597	34.5373	39.8984	30.2169	44.5176	26.8547	51.0181	22.8307	59.7411	19.471	70.9084	21.6977
598	34.6416	40.0065	30.3141	44.6265	26.9457	51.125	22.9124	59.8397	19.5384	70.9883	21.7434
599	34.7464	40.115	30.412	44.736	27.0373	51.2323	22.9947	59.9385	19.6063	71.0683	21.7892
600	34.8516	40.2238	30.5101	44.8456	27.1292	51.3397	23.0772	60.0374	19.6743	71.1483	21.8351
601	34.957	40.3329	30.6085	44.9554	27.2214	51.4473	23.16	60.1363	19.7426	71.2282	21.8811
602	35.0629	40.4423	30.7075	45.0656	27.3141	51.5551	23.2433	60.2353	19.8113	71.3082	21.9271
603	35.169	40.5519	30.8066	45.1759	27.4071	51.6629	23.3268	60.3343	19.8801	71.388	21.9731
604	35.2754	40.6617	30.9061	45.2863	27.5003	51.7709	23.4106	60.4334	19.9491	71.4678	22.0192
605	35.382	40.7717	31.0058	45.3969	27.5939	51.8789	23.4947	60.5323	20.0183	71.5474	22.0651
606	35.4888	40.8819	31.1058	45.5075	27.6876	51.9869	23.579	60.6312	20.0877	71.6269	22.1111
607	35.5959	40.9922	31.206	45.6183	27.7817	52.0949	23.6635	60.73	20.1573	71.7063	22.157
608	35.703	41.1026	31.3064	45.7291	27.8759	52.2029	23.7483	60.8287	20.2269	71.7854	22.2028
609	35.8104	41.213	31.4069	45.8399	27.9703	52.3108	23.8332	60.9273	20.2967	71.8644	22.2486
610	35.9178	41.3235	31.5077	45.9507	28.0649	52.4187	23.9183	61.0257	20.3666	71.9431	22.2941
611	36.0253	41.4341	31.6085	46.0615	28.1597	52.5264	24.0035	61.1239	20.4366	72.0216	22.3396
612	36.1329	41.5446	31.7095	46.1722	28.2545	52.634	24.0888	61.2219	20.5066	72.0998	22.3849
613	36.2405	41.655	31.8105	46.2827	28.3495	52.7413	24.1743	61.3196	20.5766	72.1776	22.43
614	36.3481	41.7654	31.9115	46.3932	28.4445	52.8485	24.2598	61.417	20.6466	72.2553	22.475
615	36.4556	41.8757	32.0126	46.5035	28.5395	52.9555	24.3453	61.5141	20.7167	72.3325	22.5197
616	36.5631	41.9858	32.1136	46.6135	28.6345	53.0621	24.4308	61.6109	20.7867	72.4094	22.5642
617	36.6705	42.0958	32.2146	46.7234	28.7296	53.1685	24.5164	61.7074	20.8566	72.4859	22.6085
618	36.7777	42.2055	32.3155	46.8329	28.8246	53.2745	24.6019	61.8033	20.9265	72.5619	22.6524
619	36.8848	42.315	32.4164	46.9422	28.9195	53.3802	24.6874	61.8989	20.9962	72.6376	22.6961
620	36.9918	42.4243	32.5171	47.0512	29.0143	53.4855	24.7728	61.9941	21.0659	72.7129	22.7396
621	37.0985	42.5332	32.6176	47.1598	29.109	53.5903	24.858	62.0887	21.1354	72.7876	22.7826
622	37.205	42.6419	32.718	47.268	29.2036	53.6948	24.9432	62.183	21.2047	72.8619	22.8254
623	37.3111	42.7502	32.8182	47.3758	29.298	53.7987	25.0282	62.2766	21.2739	72.9357	22.8678
624	37.417	42.8581	32.9181	47.4832	29.3921	53.9021	25.113	62.3697	21.3428	73.0088	22.9098
625	37.5226	42.9657	33.0178	47.5901	29.4862	54.005	25.1977	62.4623	21.4116	73.0816	22.9515
626	37.6277	43.0726	33.1171	47.6964	29.5798	54.1072	25.282	62.5541	21.48	73.1537	22.9926
627	37.7325	43.1792	33.2161	47.8022	29.6732	54.2089	25.3661	62.6454	21.5482	73.2252	23.0334
628	37.8369	43.2853	33.3148	47.9076	29.7663	54.3101	25.45	62.7361	21.6161	73.2962	23.0738
629	37.9407	43.3906	33.4129	48.0121	29.8589	54.4103	25.5334	62.8259	21.6835	73.3664	23.1135
630	38.0441	43.4955	33.5108	48.1161	29.9513	54.5101	25.6166	62.9151	21.7508	73.436	23.153
631	38.1469	43.5998	33.6081	48.2194	30.0432	54.609	25.6994	63.0036	21.8176	73.505	23.1918
632	38.249	43.7033	33.7049	48.3219	30.1345	54.7071	25.7817	63.0912	21.8839	73.5732	23.2301
633	38.3507	43.8062	33.8012	48.4238	30.2256	54.8046	25.8637	63.1781	21.9499	73.6408	23.268
634	38.4515	43.9082	33.8968	48.5246	30.3159	54.9009	25.945	63.264	22.0153	73.7074	23.3051
635	38.5517	44.0094	33.9918	48.6247	30.4056	54.9965	26.0258	63.349	22.0802	73.7734	23.3416
636	38.6512	44.11	34.0863	48.7241	30.4949	55.0913	26.1062	63.4333	22.1447	73.8387	23.3778
637	38.7497	44.2094	34.1797	48.8221	30.5833	55.1848	26.1857	63.5163	22.2084	73.9029	23.413
638	38.8475	44.3081	34.2727	48.9196	30.6712	55.2775	26.2649	63.5987	22.2717	73.9665	23.4478
639	38.9446	44.4059	34.3649	49.016	30.7584	55.3693	26.3434	63.6801	22.3344	74.0293	23.4821
640	39.0406	44.5027	34.4562	49.1114	30.8447	55.46	26.4211	63.7604	22.3964	74.0912	23.5156
641	39.1361	44.5988	34.5469	49.206	30.9306	55.55	26.4985	63.84	22.4581	74.1525	23.5488
642	39.2305	44.6937	34.6368	49.2995	31.0156	55.6387	26.575	63.9185	22.519	74.2128	23.5812
643	39.3241	44.7878	34.7259	49.3921	31.0999	55.7266	26.6509	63.9961	22.5794	74.2724	23.6131
644	39.4172	44.8813	34.8144	49.484	31.1838	55.8138	26.7264	64.073	22.6394	74.3315	23.6446
645	39.5089	44.9734	34.9018	49.5745	31.2666	55.8995	26.8009	64.1486	22.6985	74.3894	23.6753
646	39.6001	45.0649	34.9887	49.6644	31.3488	55.9846	26.8749	64.2236	22.7572	74.4468	23.7057
647	39.6905	45.1555	35.0749	49.7534	31.4304	56.0688	26.9484	64.2977	22.8154	74.5035	23.7356
648	39.7798	45.245	35.16	49.8412	31.5111	56.1519	27.021	64.3707	22.8729	74.5593	23.7648
649	39.8686	45.3339	35.2447	49.9284	31.5914	56.2343	27.0932	64.4431	22.93	74.6146	23.7937
650	39.9564	45.4217	35.3285	50.0145	31.6707	56.3156	27.1646	64.5145	22.9864	74.669	23.822
651	40.0433	45.5086	35.4114	50.0996	31.7494	56.396	27.2354	64.5851	23.0423	74.7228	23.8498
652	40.1296	45.595	35.4939	50.1842	31.8276	56.4757	27.3058	64.655	23.0978	74.776	23.8773
653	40.2148	45.6801	35.5753	50.2675	31.9048	56.5543	27.3753	64.7238	23.1526	74.8283	23.9042
654	40.2994	45.7645	35.6561	50.3502	31.9815	56.6321	27.4443	64.792	23.2069	74.8802	23.9308
655	40.3833	45.8482	35.7363	50.432	32.0575	56.7092	27.5128	64.8595	23.2608	74.9314	23.957
656	40.4662	45.9309	35.8156	50.5128	32.1327	56.7852	27.5804	64.9259	23.314	74.9818	23.9826
657	40.5485	46.0129	35.8943	50.593	32.2074	56.8607	27.6477	64.9918	23.3668	75.0318	24.0079
658	40.6299	46.0941	35.9722	50.6723	32.2814	56.9352	27.7143	65.0569	23.4191	75.0811	24.0329
659	40.7106	46.1743	36.0494	50.7506	32.3547	57.0088	27.7803	65.1211	23.4709	75.1297	24.0574
660	40.7907	46.2541	36.1261	50.8285	32.4275	57.0819	27.8459	65.1849	23.5223	75.178	24.0816
661	40.8698	46.3327	36.2019	50.9052	32.4995	57.154	27.9106	65.2477	23.5731	75.2254	24.1054
662	40.9483	46.4108	36.2771	50.9813	32.5709	57.2254	27.975	65.3099	23.6235	75.2724	24.1289
663	41.0262	46.4882	36.3518	51.0569	32.6419	57.2962	28.0389	65.3715	23.6735	75.319	24.1522
664	41.1032	46.5647	36.4256	51.1313	32.712	57.366	28.102	65.4322	23.7229	75.3648	24.1749
665	41.1796	46.6406	36.4989	51.2053	32.7817	57.4353	28.1648	65.4925	23.772	75.4103	24.1975
666	41.2554	46.7157	36.5716	51.2785	32.8507	57.5038	28.227	65.5521	23.8207	75.4552	24.2198
667	41.3303	46.7901	36.6435	51.3509	32.9191	57.5716	28.2886	65.611	23.8688	75.4996	24.2417
668	41.4049	46.864	36.7151	51.4228	32.9872	57.6389	28.3499	65.6694	23.9167	75.5436	24.2635
669	41.4786	46.9371	36.7858	51.4939	33.0545	57.7054	28.4105	65.7271	23.9641	75.5871	24.2849
670	41.5517	47.0095	36.8561	51.5644	33.1213	57.7712	28.4707	65.7843	24.0111	75.6301	24.3061
671	41.6244	47.0815	36.9259	51.6343	33.1877	57.8366	28.5305	65.841	24.0579	75.6728	24.3272
672	41.6961	47.1525	36.9948	51.7034	33.2533	57.9012	28.5897	65.8969	24.104	75.7148	24.3478
673	41.7675	47.2231	37.0634	51.772	33.3186	57.9652	28.6485	65.9524	24.15	75.7566	24.3684
674	41.8383	47.2932	37.1315	51.8401	33.3834	58.0288	28.707	66.0075	24.1956	75.7979	24.3887
675	41.9084	47.3625	37.1989	51.9074	33.4475	58.0916	28.7648	66.0619	24.2407	75.8388	24.4088
676	41.9781	47.4314	37.2659	51.9743	33.5114	58.154	28.8224	66.116	24.2857	75.8794	24.4288
677	42.0471	47.4996	37.3324	52.0406	33.5747	58.2158	28.8795	66.1694	24.3302	75.9195	24.4485
678	42.1157	47.5674	37.3984	52.1063	33.6375	58.2771	28.9362	66.2225	24.3745	75.9593	24.4682
679	42.1838	47.6347	37.464	52.1716	33.7	58.338	28.9926	66.2751	24.4185	75.9989	24.4877
680	42.2513	47.7013	37.5289	52.2362	33.7619	58.3982	29.0484	66.3272	24.4622	76.038	24.507
681	42.3183	47.7675	37.5935	52.3004	33.8234	58.4581	29.104	66.3789	24.5056	76.0768	24.5261
682	42.385	47.8332	37.6577	52.3642	33.8846	58.5175	29.1592	66.4303	24.5487	76.1153	24.5452
683	42.451	47.8984	37.7213	52.4274	33.9453	58.5763	29.214	66.4811	24.5915	76.1534	24.5642
684	42.5167	47.9632	37.7847	52.4902	34.0057	58.6348	29.2686	66.5317	24.6342	76.1913	24.5831
685	42.582	48.0276	37.8476	52.5526	34.0656	58.6929	29.3228	66.5818	24.6766	76.2289	24.6019
686	42.6467	48.0914	37.91	52.6145	34.1252	58.7505	29.3766	66.6316	24.7187	76.2662	24.6205
687	42.7112	48.155	37.9722	52.676	34.1845	58.8078	29.4303	66.6811	24.7607	76.3033	24.6392
688	42.7752	48.218	38.0339	52.7371	34.2434	58.8646	29.4835	66.7301	24.8024	76.3401	24.6577
689	42.8388	48.2807	38.0953	52.7978	34.302	58.9211	29.5365	66.7789	24.8439	76.3767	24.6762
690	42.9021	48.3431	38.1564	52.8582	34.3603	58.9773	29.5893	66.8274	24.8853	76.4131	24.6947
691	42.965	48.405	38.217	52.9182	34.4182	59.0331	29.6417	66.8755	24.9264	76.4492	24.7131
692	43.0275	48.4666	38.2774	52.9778	34.4759	59.0886	29.6939	66.9234	24.9673	76.4851	24.7316
693	43.0898	48.5279	38.3375	53.0372	34.5333	59.1438	29.7459	66.9711	25.0082	76.5208	24.75
694	43.1517	48.5888	38.3973	53.0962	34.5904	59.1986	29.7976	67.0184	25.0488	76.5563	24.7684
695	43.2133	48.6495	38.4568	53.1549	34.6473	59.2532	29.8491	67.0656	25.0894	76.5917	24.7868
696	43.2746	48.7098	38.5161	53.2133	34.7038	59.3075	29.9004	67.1124	25.1298	76.6268	24.8052
697	43.3356	48.7699	38.575	53.2714	34.7602	59.3616	29.9516	67.1591	25.1701	76.6618	24.8237
698	43.3965	48.8297	38.6338	53.3294	34.8164	59.4154	30.0025	67.2055	25.2103	76.6967	24.8421
699	43.457	48.8892	38.6923	53.387	34.8723	59.469	30.0533	67.2518	25.2503	76.7314	24.8606
700	43.5173	48.9486	38.7506	53.4444	34.9281	59.5224	30.1039	67.2978	25.2903	76.766	24.8792
701	43.5774	49.0077	38.8087	53.5016	34.9837	59.5755	30.1544	67.3437	25.3303	76.8005	24.8979
702	43.6372	49.0666	38.8666	53.5586	35.039	59.6285	30.2047	67.3895	25.3701	76.8348	24.9166
703	43.697	49.1253	38.9244	53.6154	35.0943	59.6814	30.255	67.4351	25.41	76.8691	24.9354
704	43.7565	49.1839	38.982	53.6721	35.1494	59.734	30.3051	67.4806	25.4498	76.9032	24.9543
705	43.8158	49.2423	39.0394	53.7286	35.2044	59.7865	30.3551	67.5259	25.4895	76.9373	24.9733
706	43.8751	49.3005	39.0968	53.785	35.2593	59.839	30.4051	67.5712	25.5293	76.9714	24.9923
707	43.9342	49.3587	39.154	53.8412	35.3141	59.8912	30.4549	67.6163	25.569	77.0053	25.0116
708	43.9932	49.4167	39.2111	53.8974	35.3688	59.9434	30.5048	67.6614	25.6088	77.0393	25.031
709	44.0521	49.4746	39.2682	53.9534	35.4235	59.9956	30.5546	67.7065	25.6486	77.0731	25.0504
710	44.111	49.5325	39.3252	54.0094	35.4781	60.0477	30.6044	67.7515	25.6884	77.107	25.0701
711	44.1697	49.5903	39.3821	54.0654	35.5327	60.0997	30.6542	67.7964	25.7283	77.1409	25.0899
712	44.2285	49.6481	39.439	54.1213	35.5872	60.1516	30.704	67.8413	25.7682	77.1747	25.1099
713	44.2872	49.7058	39.4959	54.1771	35.6418	60.2036	30.7538	67.8862	25.8082	77.2085	25.13
714	44.3458	49.7635	39.5527	54.2329	35.6963	60.2555	30.8036	67.9311	25.8482	77.2423	25.1502
715	44.4044	49.8211	39.6096	54.2887	35.7508	60.3073	30.8534	67.9759	25.8883	77.2761	25.1706
716	44.463	49.8787	39.6664	54.3444	35.8053	60.3592	30.9033	68.0207	25.9285	77.3099	25.1912
717	44.5216	49.9363	39.7232	54.4001	35.8598	60.411	30.9531	68.0655	25.9687	77.3436	25.2119
718	44.5801	49.9939	39.78	54.4558	35.9143	60.4628	31.003	68.1103	26.009	77.3774	25.2328
719	44.6386	50.0514	39.8367	54.5115	35.9688	60.5145	31.053	68.1551	26.0494	77.4112	25.2538
720	44.6971	50.1089	39.8935	54.5671	36.0233	60.5663	31.1029	68.1998	26.0898	77.4449	25.2749
721	44.7556	50.1664	39.9503	54.6228	36.0779	60.618	31.1529	68.2446	26.1304	77.4787	25.2963
722	44.8141	50.2239	40.0071	54.6784	36.1324	60.6698	31.2029	68.2893	26.171	77.5125	25.3177
723	44.8726	50.2814	40.0638	54.734	36.187	60.7215	31.253	68.334	26.2117	77.5462	25.3393
724	44.9311	50.3389	40.1206	54.7896	36.2416	60.7732	31.3031	68.3788	26.2524	77.58	25.3611
725	44.9896	50.3963	40.1774	54.8452	36.2962	60.8249	31.3532	68.4235	26.2932	77.6137	25.383
726	45.0481	50.4538	40.2343	54.9008	36.3509	60.8766	31.4034	68.4682	26.3342	77.6475	25.4051
727	45.1065	50.5113	40.2911	54.9564	36.4056	60.9283	31.4537	68.5129	26.3752	77.6813	25.4272
728	45.165	50.5687	40.3479	55.0119	36.4602	60.9799	31.504	68.5576	26.4162	77.715	25.4495
729	45.2235	50.6262	40.4048	55.0675	36.515	61.0316	31.5543	68.6023	26.4574	77.7488	25.472
730	45.282	50.6837	40.4617	55.1231	36.5697	61.0833	31.6047	68.647	26.4987	77.7825	25.4946
731	45.3405	50.7411	40.5186	55.1787	36.6245	61.135	31.6551	68.6917	26.54	77.8163	25.5174
732	45.399	50.7986	40.5755	55.2343	36.6793	61.1866	31.7056	68.7364	26.5814	77.8501	25.5403
733	45.4575	50.856	40.6325	55.2898	36.7342	61.2383	31.7561	68.781	26.6229	77.8838	25.5633
734	45.5161	50.9135	40.6895	55.3454	36.7891	61.2899	31.8067	68.8257	26.6645	77.9176	25.5864
735	45.5746	50.971	40.7464	55.401	36.844	61.3416	31.8574	68.8704	26.7061	77.9513	25.6097
736	45.6331	51.0285	40.8034	55.4565	36.8989	61.3932	31.9081	68.915	26.7479	77.9851	25.6331
737	45.6917	51.086	40.8605	55.5121	36.9539	61.4449	31.9588	68.9597	26.7897	78.0188	25.6566
738	45.7503	51.1435	40.9175	55.5677	37.0089	61.4965	32.0096	69.0044	26.8316	78.0525	25.6803
739	45.8088	51.2009	40.9746	55.6232	37.064	61.5481	32.0604	69.049	26.8736	78.0863	25.7041
740	45.8674	51.2584	41.0317	55.6788	37.1191	61.5998	32.1114	69.0936	26.9157	78.12	25.728
741	45.926	51.3159	41.0888	55.7343	37.1742	61.6514	32.1623	69.1382	26.9578	78.1537	25.752
742	45.9846	51.3734	41.146	55.7899	37.2293	61.703	32.2133	69.1829	27	78.1874	25.7761
743	46.0432	51.4309	41.2032	55.8455	37.2845	61.7546	32.2644	69.2275	27.0423	78.2211	25.8004
744	46.1018	51.4884	41.2603	55.901	37.3397	61.8062	32.3154	69.272	27.0847	78.2548	25.8247
745	46.1605	51.5459	41.3175	55.9565	37.395	61.8578	32.3666	69.3166	27.1271	78.2885	25.8492
746	46.2191	51.6034	41.3748	56.0121	37.4503	61.9093	32.4178	69.3612	27.1696	78.3222	25.8738
747	46.2777	51.6609	41.432	56.0676	37.5056	61.9609	32.469	69.4058	27.2122	78.3558	25.8985
748	46.3364	51.7184	41.4893	56.1231	37.5609	62.0124	32.5204	69.4503	27.2549	78.3895	25.9234
749	46.395	51.7759	41.5466	56.1787	37.6163	62.064	32.5717	69.4948	27.2976	78.4231	25.9483
750	46.4537	51.8334	41.6039	56.2342	37.6717	62.1155	32.6231	69.5393	27.3405	78.4567	25.9733
751	46.5123	51.8908	41.6612	56.2897	37.7271	62.167	32.6745	69.5838	27.3833	78.4903	25.9984
752	46.571	51.9483	41.7185	56.3451	37.7826	62.2185	32.726	69.6283	27.4263	78.5239	26.0236
753	46.6297	52.0058	41.7759	56.4006	37.8381	62.2699	32.7775	69.6727	27.4693	78.5574	26.049
754	46.6883	52.0633	41.8333	56.4561	37.8936	62.3214	32.8291	69.7171	27.5124	78.591	26.0744
755	46.747	52.1207	41.8906	56.5115	37.9491	62.3728	32.8807	69.7615	27.5555	78.6245	26.0999
756	46.8057	52.1781	41.948	56.5669	38.0047	62.4242	32.9324	69.8059	27.5988	78.658	26.1255
757	46.8643	52.2356	42.0054	56.6223	38.0603	62.4756	32.984	69.8503	27.642	78.6915	26.1512
758	46.923	52.293	42.0628	56.6777	38.1159	62.527	33.0358	69.8946	27.6854	78.7249	26.177
759	46.9816	52.3504	42.1203	56.7331	38.1715	62.5783	33.0875	69.9389	27.7288	78.7583	26.2028
760	47.0402	52.4078	42.1777	56.7884	38.2272	62.6296	33.1393	69.9831	27.7722	78.7917	26.2288
761	47.0989	52.4651	42.2351	56.8438	38.2829	62.6809	33.1912	70.0274	27.8158	78.8251	26.2548
762	47.1575	52.5225	42.2926	56.8991	38.3385	62.7321	33.2431	70.0716	27.8593	78.8585	26.281
763	47.2161	52.5798	42.35	56.9543	38.3942	62.7833	33.295	70.1157	27.903	78.8918	26.3072
764	47.2748	52.6371	42.4075	57.0096	38.45	62.8345	33.3469	70.1598	27.9467	78.9251	26.3335
765	47.3333	52.6944	42.4649	57.0648	38.5057	62.8856	33.3989	70.2039	27.9904	78.9583	26.3598
766	47.3919	52.7517	42.5224	57.12	38.5614	62.9368	33.4509	70.248	28.0342	78.9915	26.3863
767	47.4505	52.8089	42.5799	57.1752	38.6172	62.9879	33.5029	70.292	28.078	79.0247	26.4128
768	47.5091	52.8662	42.6373	57.2303	38.673	63.0389	33.5549	70.336	28.1219	79.0579	26.4393
769	47.5676	52.9234	42.6948	57.2854	38.7288	63.0899	33.607	70.3799	28.1658	79.091	26.466
770	47.6261	52.9805	42.7522	57.3404	38.7845	63.1408	33.6591	70.4238	28.2098	79.1241	26.4927
771	47.6846	53.0376	42.8097	57.3955	38.8403	63.1918	33.7113	70.4677	28.2538	79.1571	26.5195
772	47.7431	53.0948	42.8671	57.4505	38.8961	63.2426	33.7634	70.5115	28.2979	79.1901	26.5464
773	47.8016	53.1518	42.9245	57.5054	38.952	63.2935	33.8156	70.5553	28.342	79.2231	26.5733
774	47.86	53.2089	42.982	57.5603	39.0077	63.3443	33.8678	70.599	28.3862	79.256	26.6003
775	47.9184	53.2659	43.0394	57.6152	39.0636	63.395	33.92	70.6426	28.4304	79.2889	26.6273
776	47.9768	53.3228	43.0968	57.67	39.1194	63.4457	33.9722	70.6862	28.4746	79.3217	26.6544
777	48.0351	53.3797	43.1541	57.7248	39.1752	63.4963	34.0245	70.7298	28.5189	79.3545	26.6815
778	48.0935	53.4366	43.2115	57.7795	39.231	63.5469	34.0767	70.7733	28.5632	79.3873	26.7088
779	48.1517	53.4935	43.2689	57.8342	39.2868	63.5974	34.129	70.8168	28.6075	79.42	26.736
780	48.21	53.5503	43.3262	57.8888	39.3426	63.6479	34.1813	70.8602	28.6519	79.4526	26.7633
781	48.2682	53.607	43.3835	57.9434	39.3983	63.6983	34.2335	70.9035	28.6963	79.4852	26.7907
782	48.3264	53.6637	43.4408	57.9979	39.4541	63.7487	34.2858	70.9468	28.7407	79.5178	26.8181
783	48.3845	53.7204	43.4981	58.0524	39.5099	63.799	34.3381	70.99	28.7851	79.5503	26.8456
784	48.4427	53.777	43.5553	58.1068	39.5656	63.8492	34.3904	71.0332	28.8296	79.5827	26.8731
785	48.5007	53.8336	43.6125	58.1612	39.6214	63.8994	34.4427	71.0763	28.8741	79.6151	26.9006
786	48.5587	53.8901	43.6697	58.2155	39.6771	63.9495	34.495	71.1193	28.9186	79.6475	26.9282
787	48.6167	53.9465	43.7269	58.2697	39.7328	63.9996	34.5473	71.1623	28.9632	79.6798	26.9558
788	48.6747	54.0029	43.784	58.3239	39.7885	64.0496	34.5997	71.2052	29.0077	79.712	26.9835
789	48.7326	54.0593	43.8411	58.378	39.8442	64.0995	34.652	71.2481	29.0523	79.7442	27.0112
