Wavelength (nm)	Normal incidence	30 deg incidence		40 deg incidence		50 deg incidence		60 deg incidence		70 deg incidence	
		S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization
355	12.6606	16.3005	10.216	19.8853	8.5534	25.6777	7.1497	34.8898	7.81	49.1179	15.6
356	12.7258	16.3735	10.2808	19.9639	8.6124	25.7619	7.1935	34.9766	7.8237	49.1986	15.5727
357	12.7884	16.4436	10.3435	20.0395	8.6701	25.8432	7.2373	35.0609	7.8395	49.2776	15.5508
358	12.8503	16.5131	10.4055	20.1144	8.7274	25.9237	7.2812	35.1445	7.8566	49.3565	15.532
359	12.9107	16.5809	10.4664	20.1877	8.784	26.0028	7.3253	35.227	7.8754	49.4348	15.5171
360	12.97	16.6475	10.5265	20.2597	8.8401	26.0806	7.3697	35.3086	7.8961	49.5128	15.5062
361	13.0289	16.7138	10.5862	20.3314	8.896	26.1582	7.4145	35.39	7.918	49.5911	15.4979
362	13.0868	16.779	10.6452	20.402	8.9517	26.2349	7.4598	35.4709	7.9418	49.6695	15.4938
363	13.1445	16.844	10.7041	20.4725	9.0075	26.3115	7.5056	35.552	7.9671	49.7485	15.4924
364	13.2021	16.909	10.7629	20.5431	9.0634	26.3883	7.5519	35.6334	7.9936	49.828	15.4934
365	13.2596	16.9738	10.8219	20.6136	9.1197	26.4652	7.5992	35.7154	8.0223	49.9087	15.4985
366	13.3174	17.0392	10.8812	20.6847	9.1764	26.5428	7.6472	35.7982	8.0522	49.9905	15.5056
367	13.3757	17.1051	10.9409	20.7564	9.2337	26.6212	7.6962	35.8821	8.0837	50.0737	15.5154
368	13.435	17.1721	11.0017	20.8294	9.2921	26.7012	7.7465	35.9678	8.1172	50.1589	15.5282
369	13.4952	17.2402	11.0632	20.9036	9.3512	26.7824	7.7977	36.0549	8.1518	50.2457	15.5426
370	13.5568	17.31	11.126	20.9796	9.4118	26.8657	7.8504	36.1444	8.1884	50.335	15.5597
371	13.6199	17.3814	11.1902	21.0574	9.4735	26.9511	7.9042	36.236	8.2263	50.4265	15.5784
372	13.6842	17.4542	11.2553	21.1368	9.5361	27.0381	7.959	36.3295	8.2652	50.5198	15.5986
373	13.751	17.5298	11.3226	21.2192	9.6006	27.1283	8.0156	36.4264	8.306	50.6164	15.6207
