#Normal incidence	
#Wavelength (nm)	Transmission
696.407349	0.687684
697.994934	0.687845
699.582458	0.688118
701.169983	0.688295
702.757446	0.688653
704.344849	0.689285
705.932129	0.690116
707.519409	0.690369
709.106689	0.692423
710.693909	0.692676
712.281067	0.693076
713.868103	0.693758
715.4552	0.694409
717.042175	0.69501
718.629089	0.696031
720.216003	0.697127
721.802856	0.697889
723.389648	0.697129
724.976379	0.696519
726.56311	0.697777
728.149719	0.698319
729.736267	0.697848
731.322815	0.699124
732.909302	0.700161
734.495728	0.701425
736.082092	0.702224
737.668335	0.701596
739.254639	0.701864
740.84082	0.703444
742.426941	0.704808
744.013062	0.704478
745.59906	0.704801
747.185059	0.704597
748.770996	0.704602
750.356812	0.705434
751.942688	0.707118
753.528442	0.707323
755.114136	0.707715
756.699707	0.707659
758.285278	0.709583
759.870789	0.7098
761.456238	0.709942
763.041626	0.711469
764.627014	0.712657
766.21228	0.712204
767.797485	0.712449
769.382629	0.712408
770.967712	0.712542
772.552734	0.713674
774.137695	0.714371
775.722595	0.714789
777.307495	0.714652
778.892212	0.713921
780.476929	0.715686
782.061646	0.716546
783.646179	0.717588
785.230713	0.716753
786.815186	0.718428
788.399597	0.717777
789.983948	0.719462
791.568237	0.719425
793.152405	0.719617
794.736511	0.720803
796.320618	0.719622
797.904663	0.72052
799.488586	0.721379
801.072388	0.72153
802.65625	0.722826
804.23999	0.722026
805.823608	0.723788
807.407227	0.725181
808.990784	0.724432
810.574219	0.726035
812.157593	0.727628
813.740967	0.727595
815.324219	0.727691
816.907349	0.729335
818.49054	0.728303
820.073547	0.729192
821.656555	0.732083
823.239441	0.730409
824.822266	0.729729
826.404968	0.730183
827.987671	0.730499
829.570313	0.731133
831.152832	0.731113
832.735352	0.731806
834.317688	0.731735
835.900024	0.732997
837.4823	0.734462
839.064453	0.735915
840.646606	0.737508
842.228638	0.736326
843.810547	0.735529
845.392395	0.736344
846.974243	0.737355
848.555847	0.737534
850.137512	0.736649
851.719116	0.73876
853.300598	0.739483
854.882019	0.742187
856.463379	0.740296
858.044617	0.741483
859.625793	0.743044
861.206848	0.740921
862.787903	0.74343
864.368835	0.745137
865.949707	0.74249
867.530457	0.74432
869.111145	0.743268
870.691772	0.742503
872.272339	0.747707
873.852722	0.744451
875.433228	0.74181
877.013489	0.747121
878.593628	0.748225
880.173828	0.742969
881.753784	0.746495
883.333801	0.753248
884.913696	0.749661
886.493469	0.74297
888.073242	0.745882
889.652832	0.752483
891.2323	0.748852
892.811829	0.742161
894.391235	0.744331
895.97052	0.753819
897.549683	0.760449
899.128784	0.7544
900.707825	0.746248
902.286804	0.745258
903.865601	0.754854
905.444458	0.763562
907.023071	0.764267
908.601685	0.757361
910.180176	0.748475
911.758606	0.742959
913.336914	0.743253
914.915161	0.746096
916.493347	0.750758
918.071411	0.757703
919.649292	0.76191
921.227234	0.763892
922.804993	0.764058
924.38269	0.764079
925.960327	0.763175
927.537781	0.765874
929.115234	0.767216
930.692566	0.767223
932.269836	0.768114
933.846985	0.766162
935.424011	0.764021
937.000977	0.763016
938.57782	0.761544
940.154602	0.758766
941.731262	0.756009
943.307922	0.757187
944.884399	0.75881
946.460754	0.761192
948.036987	0.765015
949.613281	0.76542
951.189331	0.764839
952.76532	0.765232
954.341309	0.766276
955.917114	0.768006
957.492798	0.765765
959.068359	0.765998
960.643921	0.769992
962.21936	0.769696
963.794617	0.770758
965.369934	0.769387
966.945007	0.767982
968.52002	0.770263
970.09491	0.770137
971.6698	0.769024
