#Average polarization				Separate polarizations						
#Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75 incidence reflectance"
278.178528	0.086455	0.112047	0.235437	278.178528	0.014389	0.15852	0.003932	0.220163	0.101676	0.369199
279.767822	0.08242	0.110731	0.235801	279.767822	0.012122	0.152718	0.004532	0.21693	0.104138	0.367465
281.357147	0.078703	0.109669	0.236772	281.357147	0.010172	0.147235	0.005154	0.214183	0.106345	0.367199
282.946533	0.0758	0.108637	0.237474	282.946533	0.008485	0.143116	0.005823	0.211451	0.108668	0.366279
284.53595	0.07319	0.108437	0.238869	284.53595	0.007038	0.139341	0.006572	0.210303	0.110826	0.366912
286.125366	0.070788	0.108011	0.239637	286.125366	0.005728	0.135848	0.007303	0.208718	0.112409	0.366865
287.714844	0.068673	0.107687	0.240722	287.714844	0.004716	0.13263	0.007911	0.207463	0.114171	0.367273
289.304352	0.067173	0.107784	0.241509	289.304352	0.003875	0.130472	0.008471	0.207098	0.115352	0.367666
290.89386	0.066049	0.107866	0.242277	290.89386	0.003246	0.128852	0.009016	0.206716	0.116333	0.368222
292.483459	0.065043	0.108341	0.243088	292.483459	0.002723	0.127362	0.009466	0.207215	0.117264	0.368912
294.073029	0.064665	0.108773	0.244605	294.073029	0.002428	0.126903	0.009855	0.207691	0.118057	0.371153
295.662659	0.064304	0.109336	0.244735	295.662659	0.002155	0.126453	0.01017	0.208501	0.118364	0.371105
297.252319	0.064588	0.110193	0.245577	297.252319	0.002061	0.127114	0.010443	0.209942	0.118336	0.372819
298.84201	0.064776	0.110933	0.246563	298.84201	0.002052	0.1275	0.010479	0.211387	0.118522	0.374604
300.431732	0.065427	0.111927	0.247382	300.431732	0.002138	0.128716	0.010536	0.213318	0.11812	0.376644
302.021484	0.066296	0.113071	0.248118	302.021484	0.002334	0.130257	0.010594	0.215548	0.117513	0.378722
303.611267	0.06732	0.114549	0.248774	303.611267	0.002611	0.132029	0.010457	0.218642	0.117091	0.380456
305.20105	0.068683	0.115738	0.249469	305.20105	0.002923	0.134444	0.010413	0.221063	0.116569	0.382368
306.790894	0.070326	0.117313	0.25056	306.790894	0.003272	0.137379	0.010159	0.224467	0.115961	0.38516
308.380768	0.071957	0.118974	0.251162	308.380768	0.003747	0.140168	0.009894	0.228054	0.114867	0.387456
309.970642	0.073674	0.120615	0.252106	309.970642	0.004278	0.143069	0.00972	0.23151	0.114143	0.390068
311.560577	0.075696	0.122427	0.253098	311.560577	0.00478	0.146613	0.009451	0.235402	0.113228	0.392968
313.150543	0.077753	0.124087	0.253987	313.150543	0.005399	0.150107	0.009094	0.239081	0.11206	0.395914
314.740509	0.080079	0.126342	0.255438	314.740509	0.006139	0.154019	0.00891	0.243774	0.111138	0.399739
316.330505	0.08235	0.128414	0.256277	316.330505	0.006793	0.157907	0.008579	0.248249	0.11016	0.402393
317.920532	0.085057	0.13062	0.257035	317.920532	0.007599	0.162515	0.008249	0.252991	0.108766	0.405303
319.51059	0.08758	0.132809	0.258306	319.51059	0.008407	0.166754	0.007994	0.257623	0.107797	0.408814
321.100677	0.090373	0.135222	0.259559	321.100677	0.009265	0.171481	0.007706	0.262738	0.106478	0.412639
322.690796	0.093327	0.137703	0.261158	322.690796	0.010071	0.176582	0.007397	0.268008	0.105434	0.416881
324.280914	0.096212	0.140072	0.262313	324.280914	0.011047	0.181377	0.007166	0.272977	0.104159	0.420468
325.871063	0.099584	0.142727	0.263426	325.871063	0.01201	0.187157	0.006892	0.278563	0.102593	0.424258
327.461243	0.102777	0.145344	0.265013	327.461243	0.01308	0.192474	0.006694	0.283994	0.101707	0.428319
329.051453	0.106055	0.148218	0.266597	329.051453	0.014071	0.198039	0.006523	0.289913	0.100444	0.43275
