Normal incidence	
Wavelength (nm)	Reflectance
845.05	0.26457
846.27	0.26414
847.5	0.26404
848.73	0.26381
849.96	0.26332
851.18	0.26308
852.41	0.26274
853.64	0.26214
854.86	0.2615
856.09	0.26111
857.32	0.26067
858.54	0.26035
859.77	0.26003
860.99	0.25969
862.22	0.25928
863.44	0.25884
864.67	0.25831
865.89	0.25775
867.12	0.25737
868.34	0.25735
869.56	0.25744
870.79	0.25701
872.01	0.25651
873.23	0.25606
874.45	0.25555
875.68	0.2551
876.9	0.25427
878.12	0.25396
879.34	0.25392
880.56	0.25375
881.79	0.25389
883.01	0.25323
884.23	0.25308
885.45	0.25243
886.67	0.25266
887.89	0.25226
889.11	0.25223
890.33	0.25131
891.55	0.25059
892.77	0.25004
893.98	0.24966
895.2	0.24959
896.42	0.24904
897.64	0.24895
898.86	0.24861
900.07	0.24848
901.29	0.24788
902.51	0.24758
903.73	0.24687
904.94	0.24669
906.16	0.24606
907.38	0.24611
908.59	0.24567
909.81	0.24525
911.02	0.24479
912.24	0.24458
913.45	0.24432
914.67	0.24416
915.88	0.24442
917.1	0.24479
918.31	0.24433
919.52	0.24377
920.74	0.24318
921.95	0.24315
923.16	0.24275
924.38	0.24284
925.59	0.24251
926.8	0.24212
928.01	0.24144
929.23	0.24111
930.44	0.24079
931.65	0.24035
932.86	0.2405
934.07	0.24022
935.28	0.2399
936.49	0.23856
937.7	0.23787
938.91	0.23651
940.12	0.23594
941.33	0.23602
942.54	0.23722
943.75	0.23757
944.96	0.23697
946.17	0.23589
947.38	0.23545
948.58	0.23482
949.79	0.23558
951	0.23414
952.21	0.23438
953.41	0.23415
954.62	0.2347
955.83	0.23387
957.03	0.23276
958.24	0.23324
959.45	0.23373
960.65	0.23478
961.86	0.23426
963.06	0.23396
964.27	0.23226
965.47	0.23254
966.68	0.23276
967.88	0.2329
969.09	0.23172
970.29	0.23101
971.49	0.23035
972.7	0.23185
973.9	0.23178
975.1	0.23201
976.3	0.22945
977.51	0.22797
978.71	0.22615
979.91	0.22587
981.11	0.22589
982.31	0.22596
983.52	0.22623
984.72	0.22669
985.92	0.22627
987.12	0.22697
988.32	0.22637
989.52	0.22622
990.72	0.22462
991.92	0.22217
993.12	0.22217
994.32	0.22126
995.51	0.22276
996.71	0.2232
997.91	0.22333
999.11	0.22348
1000.31	0.22327
1001.51	0.22439
1002.7	0.22337
1003.9	0.22241
1005.1	0.22117
1006.29	0.22045
1007.49	0.22065
1008.69	0.21941
1009.88	0.21849
1011.08	0.21642
1012.27	0.21687
1013.47	0.21845
1014.66	0.21879
1015.86	0.21915
1017.05	0.2182
1018.25	0.21931
1019.44	0.21924
1020.64	0.21797
1021.83	0.21708
1023.02	0.21422
1024.22	0.21484
1025.41	0.21478
1026.6	0.21554
1027.79	0.21133
1028.99	0.21339
1030.18	0.21965
1031.37	0.22733
1032.56	0.22995
