Average polarization				Separate polarizations						
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
278.178528	0.427202	0.328028	0.155965	278.178528	0.344033	0.510371	0.211255	0.444802	0.01702	0.29491
279.767822	0.42675	0.327503	0.156148	279.767822	0.34364	0.50986	0.210138	0.444869	0.016626	0.29567
281.357147	0.42571	0.327176	0.156229	281.357147	0.342348	0.509071	0.209461	0.444891	0.016323	0.296135
282.946533	0.425713	0.327329	0.156572	282.946533	0.342087	0.50934	0.20944	0.445218	0.015901	0.297243
284.53595	0.426109	0.327035	0.156697	284.53595	0.342221	0.509997	0.208642	0.445429	0.015619	0.297776
286.125366	0.425757	0.326799	0.156961	286.125366	0.342113	0.509402	0.20801	0.445588	0.015257	0.298665
287.714844	0.425252	0.326287	0.157235	287.714844	0.341282	0.509222	0.20761	0.444963	0.01482	0.299649
289.304352	0.424794	0.32653	0.157009	289.304352	0.340317	0.50927	0.207173	0.445887	0.01452	0.299498
290.89386	0.424557	0.325755	0.157488	290.89386	0.33967	0.509445	0.20603	0.445481	0.014114	0.300863
292.483459	0.424099	0.325453	0.157631	292.483459	0.339229	0.508969	0.205288	0.445619	0.013765	0.301497
294.073029	0.42409	0.324789	0.158081	294.073029	0.338849	0.509331	0.204422	0.445156	0.01345	0.302712
295.662659	0.423404	0.324674	0.158685	295.662659	0.337516	0.509292	0.203562	0.445786	0.013046	0.304323
297.252319	0.422969	0.323799	0.15866	297.252319	0.33677	0.509169	0.202413	0.445185	0.012687	0.304633
298.84201	0.422568	0.323721	0.158437	298.84201	0.335995	0.509141	0.201751	0.445692	0.012406	0.304468
300.431732	0.421471	0.322748	0.158769	300.431732	0.334655	0.508286	0.200144	0.445351	0.012055	0.305483
302.021484	0.420828	0.322733	0.15908	302.021484	0.333447	0.50821	0.199393	0.446074	0.011751	0.306408
303.611267	0.419454	0.321689	0.159192	303.611267	0.332269	0.50664	0.198442	0.444936	0.011433	0.306952
305.20105	0.419216	0.321337	0.159269	305.20105	0.331385	0.507046	0.19751	0.445164	0.011251	0.307287
306.790894	0.418463	0.320635	0.159801	306.790894	0.330178	0.506748	0.196166	0.445103	0.010884	0.308719
308.380768	0.418352	0.320509	0.160207	308.380768	0.329552	0.507152	0.195671	0.445347	0.010671	0.309743
309.970642	0.417806	0.319605	0.160195	309.970642	0.329159	0.506452	0.19444	0.444771	0.010335	0.310056
311.560577	0.417065	0.319781	0.160972	311.560577	0.327824	0.506306	0.194045	0.445516	0.010228	0.311717
313.150543	0.41644	0.318824	0.161227	313.150543	0.326658	0.506222	0.19251	0.445139	0.009867	0.312587
314.740509	0.416463	0.318775	0.16192	314.740509	0.32679	0.506136	0.191921	0.445629	0.00955	0.314291
316.330505	0.415356	0.318656	0.161965	316.330505	0.32542	0.505292	0.191148	0.446164	0.009315	0.314615
317.920532	0.415147	0.318262	0.162515	317.920532	0.324959	0.505335	0.190604	0.44592	0.009111	0.315919
319.51059	0.414203	0.317585	0.162817	319.51059	0.323486	0.504921	0.189305	0.445865	0.008928	0.316706
321.100677	0.414474	0.317357	0.163273	321.100677	0.323632	0.505316	0.188892	0.445822	0.008744	0.317802
322.690796	0.414175	0.317085	0.164121	322.690796	0.322426	0.505923	0.188242	0.445928	0.008622	0.31962
324.280914	0.413528	0.317141	0.164143	324.280914	0.322017	0.505039	0.18716	0.447123	0.008268	0.320017
325.871063	0.413568	0.316858	0.164996	325.871063	0.321781	0.505355	0.186073	0.447643	0.008105	0.321886
327.461243	0.412757	0.316589	0.165259	327.461243	0.3203	0.505214	0.185681	0.447497	0.007939	0.32258
329.051453	0.412459	0.315994	0.165507	329.051453	0.319504	0.505414	0.184581	0.447407	0.007668	0.323347
330.641693	0.41194	0.315827	0.16598	330.641693	0.318695	0.505185	0.183796	0.447858	0.007522	0.324439
332.231964	0.411905	0.316033	0.166551	332.231964	0.317992	0.505818	0.183479	0.448587	0.007308	0.325794
333.822235	0.411895	0.316248	0.1669	333.822235	0.317817	0.505974	0.183143	0.449354	0.007193	0.326608
335.412537	0.411576	0.315313	0.16791	335.412537	0.317165	0.505987	0.182073	0.448553	0.007004	0.328815
337.002869	0.411667	0.315755	0.167885	337.002869	0.317092	0.506241	0.181519	0.449991	0.006944	0.328826
338.593231	0.411208	0.315213	0.168909	338.593231	0.316227	0.506188	0.180616	0.44981	0.006754	0.331064
340.183594	0.411267	0.315433	0.169097	340.183594	0.316001	0.506532	0.180146	0.450721	0.00661	0.331584
341.773987	0.41141	0.315569	0.169961	341.773987	0.316003	0.506818	0.179285	0.451854	0.006506	0.333416
343.36441	0.411647	0.315876	0.170157	343.36441	0.315685	0.50761	0.179188	0.452564	0.006321	0.333993
344.954865	0.411863	0.316242	0.171587	344.954865	0.315525	0.5082	0.178742	0.453743	0.006195	0.336978
346.545319	0.412514	0.316081	0.1723	346.545319	0.31573	0.509299	0.178138	0.454024	0.006041	0.338558
348.135803	0.412338	0.317016	0.172949	348.135803	0.315115	0.50956	0.178273	0.455759	0.005936	0.339962
349.726288	0.412522	0.316932	0.173464	349.726288	0.315164	0.509881	0.17765	0.456214	0.005865	0.341063
351.316833	0.413228	0.317239	0.174322	351.316833	0.315357	0.511098	0.177673	0.456806	0.00562	0.343025
352.907349	0.413188	0.317565	0.174845	352.907349	0.314912	0.511463	0.176977	0.458153	0.005575	0.344116
354.497894	0.413814	0.318579	0.17589	354.497894	0.315133	0.512494	0.177327	0.459831	0.005505	0.346274
