Normal incidence	
Wavelength (nm)	Reflectance
845.05	0.4296
846.27	0.42852
847.5	0.42735
848.73	0.42603
849.96	0.42563
851.18	0.42534
852.41	0.42469
853.64	0.42321
854.86	0.42164
856.09	0.42072
857.32	0.41999
858.54	0.41947
859.77	0.41881
860.99	0.4181
862.22	0.41755
863.44	0.41704
864.67	0.41598
865.89	0.415
867.12	0.41411
868.34	0.41415
869.56	0.41357
870.79	0.41262
872.01	0.4113
873.23	0.41053
874.45	0.40942
875.68	0.40824
876.9	0.40709
878.12	0.4068
879.34	0.40647
880.56	0.40587
881.79	0.40472
883.01	0.40381
884.23	0.40341
885.45	0.40246
886.67	0.40204
887.89	0.40112
889.11	0.401
890.33	0.39993
891.55	0.3991
892.77	0.39869
893.98	0.39826
895.2	0.39734
896.42	0.39612
897.64	0.39544
898.86	0.39496
900.07	0.39422
901.29	0.39293
902.51	0.39158
903.73	0.39071
904.94	0.39019
906.16	0.38959
907.38	0.38867
908.59	0.38767
909.81	0.38715
911.02	0.3862
912.24	0.38561
913.45	0.38484
914.67	0.38396
915.88	0.38315
917.1	0.38174
918.31	0.38162
919.52	0.38093
920.74	0.38098
921.95	0.38014
923.16	0.37948
924.38	0.37829
925.59	0.37726
926.8	0.37636
928.01	0.37595
929.23	0.37516
930.44	0.37476
931.65	0.37433
932.86	0.37359
934.07	0.3728
935.28	0.3708
936.49	0.37076
937.7	0.36964
938.91	0.37051
940.12	0.37021
941.33	0.36917
942.54	0.36823
943.75	0.36761
944.96	0.36805
946.17	0.36727
947.38	0.36563
948.58	0.36449
949.79	0.36302
951	0.36169
952.21	0.36035
953.41	0.36003
954.62	0.35993
955.83	0.35995
957.03	0.35945
958.24	0.35877
959.45	0.35818
960.65	0.35667
961.86	0.35588
963.06	0.35455
964.27	0.35519
965.47	0.3552
966.68	0.35493
967.88	0.35393
969.09	0.35297
970.29	0.35106
971.49	0.34936
972.7	0.34732
973.9	0.34767
975.1	0.34768
976.3	0.34663
977.51	0.34597
978.71	0.34547
979.91	0.34683
981.11	0.3456
982.31	0.34316
983.52	0.34072
984.72	0.33994
985.92	0.34026
987.12	0.33932
988.32	0.33857
989.52	0.33856
990.72	0.33831
991.92	0.33777
993.12	0.33704
994.32	0.33743
995.51	0.33848
996.71	0.33661
997.91	0.33452
999.11	0.33303
1000.31	0.33211
1001.51	0.33213
1002.7	0.33155
1003.9	0.33075
1005.1	0.33126
1006.29	0.33021
1007.49	0.32955
1008.69	0.32695
1009.88	0.32372
1011.08	0.32231
1012.27	0.32066
1013.47	0.31731
1014.66	0.31786
1015.86	0.31565
1017.05	0.3181
1018.25	0.31554
1019.44	0.31693
1020.64	0.31692
1021.83	0.31602
1023.02	0.31251
1024.22	0.30687
1025.41	0.30492
1026.6	0.30577
1027.79	0.30712
1028.99	0.30443
1030.18	0.30133
1031.37	0.30329
1032.56	0.30506
