Normal incidence	
Wavelength (nm)	Reflectance
845.05	0.4464
846.27	0.44511
847.5	0.4441
848.73	0.44309
849.96	0.44253
851.18	0.44188
852.41	0.44164
853.64	0.44091
854.86	0.44036
856.09	0.43923
857.32	0.43803
858.54	0.43699
859.77	0.43584
860.99	0.43508
862.22	0.43402
863.44	0.43327
864.67	0.43224
865.89	0.43146
867.12	0.43076
868.34	0.43
869.56	0.42973
870.79	0.4288
872.01	0.42787
873.23	0.42693
874.45	0.42615
875.68	0.4256
876.9	0.42485
878.12	0.42438
879.34	0.42344
880.56	0.42235
881.79	0.42136
883.01	0.42127
884.23	0.42048
885.45	0.41973
886.67	0.41827
887.89	0.41699
889.11	0.41584
890.33	0.41501
891.55	0.41465
892.77	0.41441
893.98	0.41406
895.2	0.4136
896.42	0.41296
897.64	0.41216
898.86	0.41163
900.07	0.41094
901.29	0.41025
902.51	0.40986
903.73	0.40942
904.94	0.40863
906.16	0.40727
907.38	0.40583
908.59	0.40509
909.81	0.40444
911.02	0.40365
912.24	0.40261
913.45	0.40142
914.67	0.40043
915.88	0.39967
917.1	0.39925
918.31	0.39966
919.52	0.39924
920.74	0.39902
921.95	0.39768
923.16	0.39701
924.38	0.39578
925.59	0.39497
926.8	0.39376
928.01	0.39259
929.23	0.39226
930.44	0.3916
931.65	0.39186
932.86	0.39122
934.07	0.39099
935.28	0.38984
936.49	0.38857
937.7	0.38761
938.91	0.38695
940.12	0.38639
941.33	0.38618
942.54	0.38462
943.75	0.38248
944.96	0.38145
946.17	0.38196
947.38	0.38229
948.58	0.38137
949.79	0.38012
951	0.37971
952.21	0.37902
953.41	0.3782
954.62	0.37841
955.83	0.37935
957.03	0.37906
958.24	0.37704
959.45	0.37529
960.65	0.37478
961.86	0.37599
963.06	0.37514
964.27	0.37438
965.47	0.37281
966.68	0.37277
967.88	0.37129
969.09	0.36879
970.29	0.36744
971.49	0.36716
972.7	0.36821
973.9	0.36774
975.1	0.36709
976.3	0.36486
977.51	0.3625
978.71	0.36115
979.91	0.36099
981.11	0.36037
982.31	0.36027
983.52	0.35957
984.72	0.35958
985.92	0.35989
987.12	0.36031
988.32	0.35963
989.52	0.35911
990.72	0.35727
991.92	0.35818
993.12	0.35626
994.32	0.35689
995.51	0.35507
996.71	0.35598
997.91	0.35674
999.11	0.35592
1000.31	0.35535
1001.51	0.35416
1002.7	0.35494
1003.9	0.35257
1005.1	0.34863
1006.29	0.34858
1007.49	0.3479
1008.69	0.34953
1009.88	0.34416
1011.08	0.3432
1012.27	0.34114
1013.47	0.34291
1014.66	0.34244
1015.86	0.34392
1017.05	0.34277
1018.25	0.34114
1019.44	0.33729
1020.64	0.33461
1021.83	0.33317
1023.02	0.33204
1024.22	0.33097
1025.41	0.32812
1026.6	0.32491
1027.79	0.32614
1028.99	0.32566
1030.18	0.33098
1031.37	0.32949
1032.56	0.33248
