Opt. Const. of B-Spline vs. nm		
nm	n	k
604.257202	1.461474	0
605.847046	1.461429	0
607.436829	1.461385	0
609.02655	1.461341	0
610.616272	1.461297	0
612.205933	1.461254	0
613.795532	1.46121	0
615.385193	1.461167	0
616.974731	1.461125	0
618.564331	1.461082	0
620.15387	1.461039	0
621.743347	1.460997	0
623.332825	1.460955	0
624.922241	1.460912	0
626.511597	1.460871	0
628.100952	1.460829	0
629.690308	1.460787	0
631.279602	1.460745	0
632.868835	1.460704	0
634.458069	1.460662	0
636.047241	1.460621	0
637.636353	1.46058	0
639.225464	1.460539	0
640.814575	1.460497	0
642.403625	1.460456	0
643.992615	1.460416	0
645.581604	1.460375	0
647.170532	1.460334	0
648.759399	1.460294	0
650.348267	1.460253	0
651.937134	1.460213	0
653.525879	1.460173	0
655.114624	1.460132	0
656.703308	1.460092	0
658.291992	1.460052	0
659.880615	1.460013	0
661.469177	1.459973	0
663.057739	1.459934	0
664.64624	1.459894	0
666.234741	1.459855	0
667.82312	1.459816	0
669.411499	1.459777	0
670.999878	1.459738	0
672.588135	1.459699	0
674.176392	1.45966	0
675.764587	1.459622	0
677.352783	1.459583	0
678.940918	1.459545	0
680.528992	1.459507	0
682.117065	1.459469	0
683.705017	1.459431	0
685.292969	1.459393	0
686.88092	1.459355	0
688.46875	1.459318	0
690.056519	1.45928	0
691.644348	1.459243	0
693.232056	1.459206	0
694.819702	1.459169	0
696.407349	1.459132	0
697.994934	1.459095	0
699.582458	1.459059	0
701.169983	1.459022	0
702.757446	1.458986	0
704.344849	1.45895	0
705.932129	1.458914	0
707.519409	1.458878	0
709.106689	1.458842	0
710.693909	1.458807	0
712.281067	1.458771	0
713.868103	1.458736	0
715.4552	1.458701	0
717.042175	1.458666	0
718.629089	1.458631	0
720.216003	1.458597	0
721.802856	1.458562	0
723.389648	1.458528	0
724.976379	1.458494	0
726.56311	1.458461	0
728.149719	1.458427	0
729.736267	1.458394	0
731.322815	1.458361	0
732.909302	1.458328	0
734.495728	1.458295	0
736.082092	1.458263	0
737.668335	1.458231	0
739.254639	1.458199	0
740.84082	1.458168	0
742.426941	1.458136	0
744.013062	1.458105	0
745.59906	1.458075	0
747.185059	1.458044	0
748.770996	1.458014	0
750.356812	1.457984	0
751.942688	1.457955	0
753.528442	1.457925	0
755.114136	1.457896	0
756.699707	1.457868	0
758.285278	1.457839	0
759.870789	1.457811	0
761.456238	1.457783	0
763.041626	1.457756	0
764.627014	1.457728	0
766.21228	1.457701	0
767.797485	1.457675	0
769.382629	1.457649	0
770.967712	1.457623	0
772.552734	1.457597	0
774.137695	1.457572	0
775.722595	1.457547	0
777.307495	1.457522	0
778.892212	1.457498	0
780.476929	1.457474	0
782.061646	1.45745	0
783.646179	1.457427	0
785.230713	1.457404	0
786.815186	1.457381	0
788.399597	1.457359	0
789.983948	1.457337	0
791.568237	1.457315	0
793.152405	1.457294	0
794.736511	1.457273	0
796.320618	1.457252	0
797.904663	1.457232	0
799.488586	1.457212	0
801.072388	1.457192	0
802.65625	1.457173	0
804.23999	1.457154	0
805.823608	1.457135	0
807.407227	1.457117	0
808.990784	1.457098	0
810.574219	1.45708	0
812.157593	1.457063	0
813.740967	1.457045	0
815.324219	1.457028	0
816.907349	1.457011	0
818.49054	1.456994	0
820.073547	1.456977	0
821.656555	1.45696	0
