Normal incidence	
Wavelength (nm)	Transmission
696.407349	0.44057
697.994934	0.442458
699.582458	0.443959
701.169983	0.446378
702.757446	0.447804
704.344849	0.449339
705.932129	0.451919
707.519409	0.452963
709.106689	0.453861
710.693909	0.455605
712.281067	0.457629
713.868103	0.4586
715.4552	0.459317
717.042175	0.461068
718.629089	0.462963
720.216003	0.465944
721.802856	0.467239
723.389648	0.468676
724.976379	0.469527
726.56311	0.470908
728.149719	0.473502
729.736267	0.475191
731.322815	0.475035
732.909302	0.476359
734.495728	0.478323
736.082092	0.48106
737.668335	0.482853
739.254639	0.48535
740.84082	0.485569
742.426941	0.485659
744.013062	0.487409
745.59906	0.489149
747.185059	0.490124
748.770996	0.490875
750.356812	0.492845
751.942688	0.494145
753.528442	0.495395
755.114136	0.497071
756.699707	0.499079
758.285278	0.501363
759.870789	0.50211
761.456238	0.503095
763.041626	0.503629
764.627014	0.505241
766.21228	0.507544
767.797485	0.508234
769.382629	0.508875
770.967712	0.510356
772.552734	0.512908
774.137695	0.513355
775.722595	0.515809
777.307495	0.518331
778.892212	0.519363
780.476929	0.519686
782.061646	0.519425
783.646179	0.519162
785.230713	0.519217
786.815186	0.524148
788.399597	0.524199
789.983948	0.526073
791.568237	0.526885
793.152405	0.52657
794.736511	0.52909
796.320618	0.530258
797.904663	0.531781
799.488586	0.532594
801.072388	0.533428
802.65625	0.537289
804.23999	0.536197
805.823608	0.536909
807.407227	0.538565
808.990784	0.537194
810.574219	0.538512
812.157593	0.541169
813.740967	0.54179
815.324219	0.545658
816.907349	0.547618
818.49054	0.546164
820.073547	0.548895
821.656555	0.54936
823.239441	0.549471
824.822266	0.551274
826.404968	0.552062
827.987671	0.551311
829.570313	0.553073
831.152832	0.55716
832.735352	0.559211
834.317688	0.558672
835.900024	0.559466
837.4823	0.561792
839.064453	0.563416
840.646606	0.56305
842.228638	0.565077
843.810547	0.566696
845.392395	0.565727
846.974243	0.566323
848.555847	0.566593
850.137512	0.569604
851.719116	0.569151
853.300598	0.574206
854.882019	0.573655
856.463379	0.57404
858.044617	0.575949
859.625793	0.575374
861.206848	0.577543
862.787903	0.576208
864.368835	0.576105
865.949707	0.580291
867.530457	0.580401
869.111145	0.579887
870.691772	0.582078
872.272339	0.581455
